,Unnamed: 0,company,location,dates,job-title,summary,pros,cons,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,career-opportunities-stars,comp-benefit-stars,senior-management-stars,helpful-count,role,is_current_employee,year,month,quarter,earnings_this_quarter,stock_price,incomplete_review
1406,1407,google,"Mountain View, CA"," Apr 23, 2017",Current Employee - Sals Manager,Great comp and benefits but decision making can be erratic.,Highly competitive compensation and amazing benefits.,Decision making can be erratic.,Greater focus on business issues that drive value.,4.0,5.0,3.0,4.0,5.0,3.0,0,Sals Manager,1,2017,Apr,2,32.323,930.5,0
1407,1408,google,"Los Angeles, CA"," Apr 5, 2017",Former Employee - Intern,Best Company Ever,Free food Excellent People Good Mentors Great Opportunities Excellent Infrastructure Updated Technology Always Innovating,Too Busy People Inferiority Complex Sometimes you feel you are very alone in this big company Its no longer a startup,none,5.0,3.0,4.0,4.0,5.0,4.0,1,Intern,0,2017,Apr,2,32.323,930.5,0
1408,1409,google,none," Apr 7, 2017",Former Employee - Anonymous Employee,Software Engineer,Great work culture and peers,Limited growth opportunities beyond your team,none,5.0,3.0,3.0,2.0,3.0,3.0,0,Anonymous Employee,0,2017,Apr,2,32.323,930.5,0
1409,1410,google,"New York, NY"," Apr 13, 2017",Current Employee - Software Engineer III,"Comfortable job, but culture kind of crappy.","Benefits are good, the company generally treats its employees well.","Promotion-driven development, employees focus on launching crappy products and getting promoted, instead of taking the time to build excellent products.",Focus on earning user and employee trust.,4.0,5.0,3.0,4.0,4.0,3.0,3,Software Engineer III,1,2017,Apr,2,32.323,930.5,0
1410,1411,google,"Mountain View, CA"," Apr 17, 2017",Former Employee - Anonymous Employee,"Good benefits, Big company problems","high salary, lots of benefits",big company problems. lots of negativity,manage poor performers better,4.0,3.0,3.0,3.0,3.0,3.0,1,Anonymous Employee,0,2017,Apr,2,32.323,930.5,1
1411,1412,google,none," Apr 9, 2017",Current Employee - Software Engineer,Going from great to average,"Great benefits, friendly intelligent people, fun, high impact on the world, especially at the lower levels.","Projects get canceled, often unexpectedly and seemingly arbitrarily by higher ups many levels up, that you never meet. Sometimes entire sites get closed for ""business decisions"", not based on the projects being worked on there, but just due to internal power struggles. Work life balance, 20% time, and other principles being eroded over time. The higher up you go, the less friendly and intelligent people are, and the more like the stereotypical power hungry pointy haired bosses.",none,3.0,3.0,3.0,3.0,5.0,1.0,5,Software Engineer,1,2017,Apr,2,32.323,930.5,0
1412,1413,google,"Mountain View, CA"," Apr 3, 2017",Current Employee - Software Engineer,Software Engineer,"Smart people, great benefits, career opportunities",A lot of teams and projects are not as good.,none,5.0,5.0,5.0,4.0,5.0,4.0,0,Software Engineer,1,2017,Apr,2,32.323,930.5,0
1413,1414,google,"Sunnyvale, CA"," Apr 3, 2017",Current Employee - Software Engineer,Best Job I've had,Free food Network of talented coworkers,Impact can be hard to obtain at such a large company,none,5.0,5.0,5.0,5.0,5.0,4.0,0,Software Engineer,1,2017,Apr,2,32.323,930.5,0
1414,1415,google,none," Apr 17, 2017",Current Employee - Anonymous Employee,Software Engineer,Innovative New and Interesting and Fun,"It's Google, but I like that",Keep up the good work on innovation and top talent.,4.0,4.0,4.0,4.0,4.0,4.0,0,Anonymous Employee,1,2017,Apr,2,32.323,930.5,0
1415,1416,google,"New York, NY"," Apr 17, 2017",Former Employee - Sales,Sales,Great products and with massive growth potential,Little creativity and quotas often times outpace actual growth,none,4.0,3.0,5.0,4.0,5.0,4.0,0,Sales,0,2017,Apr,2,32.323,930.5,0
1416,1417,google,"Mountain View, CA"," Mar 27, 2017",Current Employee - Anonymous Employee,The stereotypes are true,"I have been in Google for 6 years, and it is really as good as people say it is.  - Culture: Very supportive and positive culture - Interesting technical problems - Smart colleagues - Nice perks - Flexible work schedule","- Complex systems. Need to do lot of work (approvals, reviews, configuration & code changes) to make even small user-facing changes.",none,5.0,5.0,5.0,5.0,5.0,5.0,2,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1417,1418,google,"Venice, CA"," Mar 30, 2017",Current Employee - Staff Software Engineer,Engineer,"Great perks, talented co-workers, world-class products and problems.",It is a large company,none,5.0,5.0,5.0,5.0,5.0,5.0,1,Staff Software Engineer,1,2017,Mar,1,27.772,905.96,0
1418,1419,google,"New York, NY"," Apr 2, 2017",Current Employee - Strategic Partner Manager,Strategic Partner Manager,"Culture, People, Compensation, Stock Options, Cool Products, Free Food.",Frequent org and strategy changes.,,5.0,5.0,5.0,5.0,5.0,5.0,0,Strategic Partner Manager,1,2017,Apr,2,32.323,930.5,0
1419,1420,google,"Mountain View, CA"," Apr 2, 2017",Current Employee - Senior Research Scientist,"Many opportunities, but also chaotic.","Great work-life balance, showing initiative and leadership is welcomed and rewarded. Lot of freedom in pursing research directions.","Many teams and people. There is a good chance that there already is an entire team working on your research idea - and that you only find out after sinking months into it. Often lack of strong (leadership) vision, resulting in lack of synchronisation between teams.",Be less afraid to impose your (long-term) vision - people will still feel empowered enough if they have a say in strategy (how to achieve said vision).,5.0,5.0,5.0,4.0,5.0,3.0,0,Senior Research Scientist,1,2017,Apr,2,32.323,930.5,0
1420,1421,google,"San Francisco, CA"," Apr 2, 2017",Current Employee - PEOPLE DEVELOPMENT BUSINESS PARTNER,"After more than a decade, still proud and grateful","Great benefits, great people (mostly), some flexibility, many opportunities to learn and grow.","Competitive, getting more bureaucratic, political at times due to Type A people with sharp elbows, you work very hard and are often burned out or beaten down by the pace.",none,5.0,4.0,5.0,3.0,4.0,3.0,0,PEOPLE DEVELOPMENT BUSINESS PARTNER,1,2017,Apr,2,32.323,930.5,0
1421,1422,google,none," Apr 13, 2017",Current Employee - Anonymous Employee,new grad experience,"flexiblility, work life balance smart people to work with and learn from",bureaucratic constraints can stifle innovation,none,4.0,3.0,3.0,3.0,3.0,3.0,1,Anonymous Employee,1,2017,Apr,2,32.323,930.5,1
1422,1423,google,none," Mar 29, 2017",Former Employee - Anonymous Employee,Administrative Business Partner,"Great benefits, interesting and smart people. Freedom to take off and soar. Laid back culture.",Lack of structure for some roles can be challenging. Full of disgruntled overachievers that want to be VPs... but they can't all be VPs!,none,5.0,4.0,5.0,4.0,5.0,4.0,1,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1423,1424,google,none," Mar 28, 2017",Current Employee - Anonymous Employee,Software Engineer,good it is a very good company,nothing bad. google is a good company,none,5.0,5.0,3.0,4.0,5.0,4.0,1,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1424,1425,google,none," Mar 27, 2017",Former Employee - Anonymous Employee,Senior Research Engineer,Good environment and free food.,There are too many employees now.,none,5.0,5.0,5.0,5.0,5.0,5.0,1,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1425,1426,google,"San Francisco, CA"," Mar 23, 2017",Former Employee - Software Engineer,"Dynamic and exciting working environment,good pay with world's best people","Dynamic and exciting environment, talented people to work with.","Its location, it took long time to arrive to the complex.",none,5.0,5.0,3.0,5.0,5.0,5.0,2,Software Engineer,0,2017,Mar,1,27.772,905.96,0
1426,1427,google,none," Mar 29, 2017",Former Employee - Anonymous Employee,very good salary,the environment is the best,there is not many positions for new fresh,none,5.0,5.0,5.0,5.0,4.0,4.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1427,1428,google,none," Apr 12, 2017",Current Employee - Anonymous Employee,Senior Sales Engineer,"Good benefits, lots of locations","Very competitive, no place for anyone over 30",none,3.0,2.0,2.0,3.0,5.0,2.0,0,Anonymous Employee,1,2017,Apr,2,32.323,930.5,0
1428,1429,google,"Mountain View, CA"," Mar 28, 2017",Former Employee - Anonymous Employee,Great Company,"I worked with a lot of talented people, which helped raise my own skills.",The hours can be long and the expectations high.,Keep on keeping your employees happy.,5.0,3.0,4.0,3.0,5.0,3.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1429,1430,google,"San Francisco, CA"," Mar 25, 2017",Current Employee - Interactoin DesignerIII,The best work place so far :),"3P is awesome, People, Project, and Perks. You will work with great people, googley goolers, open-minded, well-disciplined, and wiling to take a risk and try new things! You will also work on cool projects that have impact on people's everyday life in the world. And great great perks will just follow. :)","Very fast facing, and there are no such rules never gonna be changed so you have to follow. You should be very active and adjust yourself to the evolving environment continually.",Thanks for keeping Google transparent.,5.0,5.0,5.0,5.0,5.0,5.0,0,Interactoin DesignerIII,1,2017,Mar,1,27.772,905.96,0
1430,1431,google,"Mountain View, CA"," Apr 8, 2017",Former Employee - Software Engineer,Great learning & work life balance,"- Get to learn a lot, not just technical things but non-technical things as well. For eg. how a company can keep growing and have culture to attract the best talent.",- There is bureaucracy at places. - Culture of innovation seems to be fading.,Focus more on experimentation and innovation.,4.0,4.0,4.0,5.0,4.0,4.0,0,Software Engineer,0,2017,Apr,2,32.323,930.5,0
1431,1432,google,none," Apr 6, 2017",Former Employee - Anonymous Employee,Making diamonds from coal - if you like that sort of thing,"- Incredibly brilliant people - Exposure to great projects and opportunities - The perks (food, Google Bus, workout facilities) are as good as expected","- In my department, turbulent management style led to 40% attrition rate in 6 months - Growth through chaos... it really is about turning coal into diamonds - Incredibly stressful - Poor work-life balance (those sleeping rooms are there for a reason!) - The 3-hour R/T commute to SF is nothing to sneeze at - soul-draining - Bias against older employees (employees 35 y.o. and older are referred to as ""Grayglers"" - this bias surfaces occasionally in the company culture)","Keep making fantastic products and services - but listen to your people. As they begin to age and grow families, work-life balance will supersede the benefits..",3.0,2.0,4.0,4.0,4.0,4.0,1,Anonymous Employee,0,2017,Apr,2,32.323,930.5,0
1432,1433,google,"Mountain View, CA"," Apr 7, 2017",Current Employee - Software Engineer,Still a very good company,Full of talented people. Good development environment.,Company got a bit large. Often it's hard to get visibility of the projects or accomplishments.,none,4.0,2.0,5.0,4.0,5.0,3.0,0,Software Engineer,1,2017,Apr,2,32.323,930.5,0
1433,1434,google,none," Apr 4, 2017",Former Employee - Anonymous Employee,Good company culture and co-workers,I really enjoyed working with intelligent co-workers,I feel like I was consistently staffed on projects below my skill level,none,4.0,3.0,3.0,3.0,3.0,3.0,1,Anonymous Employee,0,2017,Apr,2,32.323,930.5,1
1434,1435,google,none," Mar 20, 2017",Current Employee - Anonymous Employee,Great Workplace,"Group Communication, focused, friendly, great office","busy, work life balance, benefits, people",none,5.0,5.0,5.0,5.0,3.0,5.0,1,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1435,1436,google,none," Mar 23, 2017",Former Employee - Anonymous Employee,Great place to learn and develop,"Benefits, comp, autonomy, ability to change jobs internally",Commute from city and inability to work from the city,none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1436,1437,google,"San Francisco, CA"," Apr 6, 2017",Current Employee - Anonymous Employee,Google review,great work environment for most people,lack of diversity with underrepresented minorities,none,4.0,4.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2017,Apr,2,32.323,930.5,0
1437,1438,google,none," Mar 22, 2017",Former Employee - Anonymous Employee,Developer,"Fun enviorment, You learn a lot while you are there",Maybe the work to life balance could be better but overall it was very good,They are actually really good,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1438,1439,google,"Mountain View, CA"," Mar 22, 2017",Current Employee - HRBP,HR,"Wonderful people, excellent benefits, and exciting work.",Less structure for clear career trajectories,Clear career trajectories,5.0,5.0,5.0,4.0,5.0,4.0,0,HRBP,1,2017,Mar,1,27.772,905.96,0
1439,1440,google,none," Mar 18, 2017",Current Employee - Anonymous Employee,Great company,"Flexible, brilliant people, high impact.",Could be stressful and competitive.,none,5.0,3.0,3.0,3.0,3.0,3.0,1,Anonymous Employee,1,2017,Mar,1,27.772,905.96,1
1440,1441,google,"Boulder, CO"," Mar 17, 2017",Current Employee - Software Engineering Manager,great large Tech company with good culture,"great people, great benefits, great culture, great products",growing / scaling difficult to do while staying agile,none,5.0,4.0,4.0,4.0,5.0,4.0,1,Software Engineering Manager,1,2017,Mar,1,27.772,905.96,0
1441,1442,google,none," Mar 20, 2017",Current Employee - Anonymous Employee,Best of the best for Big firm engineering,"Engineer driven space, excellent compensation, great perks. But most importantly the people.",If you don't like big companies this isn't the place for you.,none,5.0,5.0,4.0,5.0,5.0,3.0,0,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1442,1443,google,none," Apr 3, 2017",Former Employee - Anonymous Employee,Good company,Great work environment to be a part of,The hours can be long,none,4.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,0,2017,Apr,2,32.323,930.5,1
1443,1444,google,"Mountain View, CA"," Mar 19, 2017",Current Employee - Software Engineer,Software Engineer,"The benefits are amazing. Free food, free everything.","Things do get busy, and everyone's super competitive.",none,5.0,5.0,5.0,5.0,5.0,5.0,0,Software Engineer,1,2017,Mar,1,27.772,905.96,0
1444,1445,google,none," Apr 2, 2017",Current Employee - Anonymous Employee,Googler,"Good company to work for, great food","Can seem to be too big, too slow sometimes",none,4.0,4.0,4.0,4.0,5.0,3.0,0,Anonymous Employee,1,2017,Apr,2,32.323,930.5,0
1445,1446,google,"San Jose, CA"," Mar 30, 2017",Former Employee - Developer Marketing Director,Fantastic company,Smart people in all departments,People don't tend to stick around too long,Get a BI server!,4.0,3.0,3.0,4.0,3.0,2.0,1,Developer Marketing Director,0,2017,Mar,1,27.772,905.96,0
1446,1447,google,"San Jose, CA"," Apr 1, 2017",Former Employee - Google Specialist,Google Review,"They have free food, great bathrooms and other services that people in other companies would otherwise pay for. The work environment is positive.",Google is very competitive and there are a lot of inside politics in terms of jobs and promotions.,"I really don't have any advice to management, everything was pleasant and done well.",4.0,4.0,4.0,4.0,4.0,4.0,0,Google Specialist,0,2017,Apr,2,32.323,930.5,0
1447,1448,google,"Mountain View, CA"," Apr 1, 2017",Current Employee - Pmm,Great benefits but not enough of an impact,"Great benefits, work/life balance, culture is great","not enough ownership, same politics as any big company, wont make as much of an impact as other smaller companies",none,4.0,5.0,4.0,3.0,5.0,4.0,0,Pmm,1,2017,Apr,2,32.323,930.5,0
1448,1449,google,none," Mar 14, 2017",Current Employee - Anonymous Employee,Wonderful experience,"Incredible people, lots of flexibility to grow and challenge yourself",Poor communication from upper management in terms of reasons for various decisions,none,5.0,5.0,5.0,5.0,4.0,4.0,1,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1449,1450,google,"Mountain View, CA"," Mar 17, 2017",Current Employee - Staff Software Engineer,Google Rocks!,"Research, Top dollar, Clever colleagues","Proprietary technologies, adhoc promotion process",none,5.0,3.0,3.0,3.0,3.0,3.0,0,Staff Software Engineer,1,2017,Mar,1,27.772,905.96,1
1450,1451,google,"Mountain View, CA"," Mar 13, 2017",Current Employee - Senior Software Engineer,The Best of the Best,"Smart, motivated colleagues. Hard problems. Great perks.","Meritocracy fails to account for luck/""right-place, right-time.""",Recognize that good talent can still land in a bad team and/or toxic environment.,5.0,4.0,4.0,5.0,5.0,3.0,1,Senior Software Engineer,1,2017,Mar,1,27.772,905.96,0
1451,1452,google,none," Mar 16, 2017",Current Employee - Anonymous Employee,Great Company,Best company to work for in USA,none really that come to mind,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,1,2017,Mar,1,27.772,905.96,1
1452,1453,google,"San Francisco, CA"," Mar 21, 2017",Current Employee - Anonymous Employee,Increasingly disappointing,Amazing perks. Improved work/life balance. Lots of internal mobility opportunities. Supports career/personal development with a multitude of internal classes and resources.,"Increasing pool of ineffective and inexperienced middle managers. HR doesn't do anything perceivable to remove toxic employees (even ones who have a proven track record of questionable ethics/morality and embarrassingly low employee feedback scores). Lots of hierarchy. As a result, culture is quickly degrading.",none,2.0,4.0,2.0,4.0,4.0,2.0,6,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1453,1454,google,none," Mar 13, 2017",Former Employee - Anonymous Employee,Wonderful work environment and very collaborative atmosphere.,Wonderful work environment Work-Life Balance is given primary importance.,"Flat hierarchy structure, which can be both good and bad.",none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1454,1455,google,none," Mar 13, 2017",Current Employee - Technical Program Manager,"Tremendous Benefits, Lacks Focus",Great work environment Amazing benefits and perks Great people,Management lacks focus Chaotic Prioritization Increasingly Bureaucratic,none,5.0,5.0,5.0,2.0,5.0,2.0,0,Technical Program Manager,1,2017,Mar,1,27.772,905.96,0
1455,1456,google,"Mountain View, CA"," Mar 13, 2017",Current Employee - Program Manager,Program Manager,"Great Salary, Great Benefits, Free Food! Management really cares, Google really cares about their employees. Interview processes ensure that only the best people are hired.",There really are not many. The company has a start-up mentality so things are always changing. You must be comfortable with constantly changing priorities and reorganization.,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Program Manager,1,2017,Mar,1,27.772,905.96,1
1456,1457,google,none," Mar 13, 2017",Current Employee - Anonymous Employee,Cool job,* competitive compensation * lots of learning opportunities * inter-company transfers are possible for software engineers if you are not satisfied with the team or manager,"Google is a commercial company which means you have to do the job required for it to earn money or attract users. Sometime that may not be your most favourite research topic or the cleanest most beautiful code, which may be hard to accept if you are a perfectionist.",none,5.0,4.0,4.0,5.0,5.0,4.0,0,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1457,1458,google,"Mountain View, CA"," Mar 24, 2017",Former Employee - Team Lead,Team Lead in Sales and Operations,"Incredible talent, true collaborative spirit, obviously the perks and benefits are unbeatable. The culture is very flexible-- just get your work done. They do a great job training managers. This was my first time managing people and I felt I was given the tools and resources to do my job well.","I worked in MTV and lived in San Francisco and the commute was absolutely horrible. They also do a poor job managing out low performers. Instead of letting people go, they're shuffled around the organization and tend to remain a problem.",Allow flexibility for working in SF,4.0,4.0,5.0,5.0,5.0,4.0,1,Team Lead,0,2017,Mar,1,27.772,905.96,0
1458,1459,google,none," Mar 12, 2017",Current Employee - Anonymous Employee,senior software engineer,very good love this job,nothing is bad about this job,none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1459,1460,google,none," Mar 22, 2017",Current Employee - Anonymous Employee,Life at a verb,Well known company. Some good infrastructure.,Doesn't value quality. Throws away product lines like tissues. Endless churn.,Actually commit to products and product excellence. Reward people for making great (or even usable) products instead of punishing them.,3.0,3.0,3.0,3.0,3.0,3.0,1,Anonymous Employee,1,2017,Mar,1,27.772,905.96,1
1460,1461,google,none," Mar 9, 2017",Current Employee - Anonymous Employee,TPM,Best place to work and grow.,None that I could think of.,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,1,2017,Mar,1,27.772,905.96,1
1461,1462,google,"Mountain View, CA"," Mar 9, 2017",Current Employee - Staff Engineer,Still the best place I have ever worked,Great people in an environment that is fun and challanging,I now a bigger company so it has become somewhat silo'd,Continue to open. Provide better viability to opportunities. Better decision making when starting projects into new business areas,5.0,4.0,5.0,5.0,5.0,4.0,0,Staff Engineer,1,2017,Mar,1,27.772,905.96,0
1462,1463,google,none," Mar 23, 2017",Former Employee - Anonymous Employee,It's the Googliest,"Great people, amazing offices, free lunch!","Huge company, fewer opportunities outside of HQ",none,4.0,4.0,5.0,3.0,5.0,4.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1463,1464,google,none," Mar 8, 2017",Current Employee - Anonymous Employee,Software Engineer,Interesting / challenging work. Smart colleagues.,Can not think of any.,none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1464,1465,google,"India, TN"," Mar 8, 2017",Former Employee - Data Analyst,Data Analyst,Best environment to work at.,Stress level is little high,I liked everything about the company,5.0,4.0,5.0,5.0,5.0,5.0,0,Data Analyst,0,2017,Mar,1,27.772,905.96,0
1465,1466,google,none," Mar 15, 2017",Former Employee - Anonymous Employee,Lifeless corporate drones,"Decent salary, that's about it","Massively overcrowded offices, more lawyers and Human Resources bots than engineers, company is terrified of Amazon's growth and just trying to copy everything they do, zero innovation",none,2.0,3.0,3.0,3.0,3.0,3.0,6,Anonymous Employee,0,2017,Mar,1,27.772,905.96,1
1466,1467,google,"Boulder, CO"," Apr 3, 2017",Former Employee - Software Engineer,"Payments Processing at Google Boulder, CO",Great salary. Great benefits. Great food. Great location. Some really great people.,"Don't expect to see great code. Expect a mess which everyone is struggling to understand, caused by fast pace, rapid turnover, and some really spectacular bad past design decisions that make things very hard to trace, but are now deeply embedded, and would be very hard to remove. Having said that, if this is your thing, great, they will reward you handsomely to help keep them afloat. Company is extremely PC. But you already knew that. Apparently, surveillance of personal email/networks. I can't prove it but I was creeped out too many times.",Slow down. Build a stable team. Stop hiring physicists. Hire experienced fin-tech people.,1.0,3.0,3.0,3.0,5.0,3.0,14,Software Engineer,0,2017,Apr,2,32.323,930.5,1
1467,1468,google,"Mountain View, CA"," Mar 10, 2017",Former Employee - Technical Writing,Technical Writer,"Responsibility I was given right from the start to do what I thought was right, and support for it. Freedom to move introduce bold new ideas and rock the boat a little. The quality and level of intellect in Google was the most I'd experienced in my career (after stints in other tech giants). Being in the environment ups your game and makes you better.",Can seem chaotic to folks who might need more structure.,"Emphasize to Googlers not to loss touch with the outside world, users of Google's products and services. I found there was a tendency to become more and more isolated in the perfect Google cocoon of free meals, laundry, and perks that in the end were detrimental to empathy with the rest of the world.",5.0,4.0,5.0,5.0,5.0,4.0,0,Technical Writing,0,2017,Mar,1,27.772,905.96,0
1468,1469,google,none," Mar 6, 2017",Current Employee - Anonymous Employee,great place,great management. and the food is good.,Too many smart people.,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,1,2017,Mar,1,27.772,905.96,1
1469,1470,google,"Mountain View, CA"," Mar 7, 2017",Current Employee - Software Engineer,Software Engineer (by acquisition),"When my former company was acquired, I was not required to interview for my job and there were no changes to my salary. Google is paying out my unvested options and RSUs and gave me a grant of GSUs to boot. This was all very surprising to me as I had less than a year of experience when the acquisition began.  Excellent professional development resources.","Having a list of approved languages is kind of a drag. I am also hoping there will be a place for me, in the future, outside of the former company wth which I was acquired.","Thank you for making the transition seamless! It was stressful, but worked out nicely in the end.",5.0,3.0,5.0,5.0,5.0,5.0,0,Software Engineer,1,2017,Mar,1,27.772,905.96,0
1470,1471,google,none," Mar 3, 2017",Former Employee - Anonymous Employee,Best Company,Benefits perks free food parking,Slow pace too much competition,none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1471,1472,google,"Mountain View, CA"," Mar 3, 2017",Former Employee - Software Engineer,Great company to work at,"Great group of co-workers, great perks, TGIF and memegen.",Nothing that comes to mind.,none,5.0,5.0,5.0,5.0,5.0,4.0,1,Software Engineer,0,2017,Mar,1,27.772,905.96,0
1472,1473,google,none," Apr 6, 2017",Former Employee - Line Cook,Pump House,Food is great. The hours are really good as well.,"The management sucks, the turnover rate is ridiculous, most of all the employees are professional, and the health department will probably shut them down really soon.",Advice to management is that if you want to keep good workers expecting for the company to be successful then stop just hiring anybody and learn what it truly means to be professional and respectful because your all not at all honestly.,1.0,1.0,3.0,1.0,3.0,3.0,1,Line Cook,0,2017,Apr,2,32.323,930.5,1
1473,1474,google,none," Feb 26, 2017",Current Employee - Anonymous Employee,Learn and grow from the best,"+ Mutual sense of trust amongst employees -- everyone wants to be there + Wide-reaching, impactful work + Able to own your piece of the project, even at junior levels",- Focuses on new shiny products instead of investing in existing work - Company is large enough that bureacracy is creeping in,Balance new feature work with listening to existing users,5.0,3.0,3.0,3.0,3.0,3.0,1,Anonymous Employee,1,2017,Feb,1,27.772,905.96,1
1474,1475,google,none," Mar 1, 2017",Former Employee - Anonymous Employee,Loved it,"Wonderful place to work - big, but worth it","Big, can become political accordingly, but much better than most companies of this size",none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,0,2017,Mar,1,27.772,905.96,1
1475,1476,google,"Mountain View, Buncombe, NC"," Feb 25, 2017",Former Employee - Anonymous Employee,Great place to work,Not a secret but Google continues to be one of the best places to work at. You will work with the world's best and have freedom to reach your full potential.,"Not a real cons but you can get disoriented by the amount of stuff happening around you. Also, the talent around you can be almost intimidating but the best talent thrives in that environment",none,5.0,4.0,4.0,4.0,4.0,4.0,1,Anonymous Employee,0,2017,Feb,1,27.772,905.96,0
1476,1477,google,none," Feb 28, 2017",Former Employee - Anonymous Employee,Google,"Good folks good money i RECKON. ,)",Im more of a bing guy tbh.,"Nothing, keep being awesome!!!!",5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,0,2017,Feb,1,27.772,905.96,0
1477,1478,google,none," Feb 28, 2017",Former Employee - Anonymous Employee,Consultant,Really fun time in the office,Sometimes Hard day to day,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,0,2017,Feb,1,27.772,905.96,1
1478,1479,google,none," Mar 10, 2017",Current Employee - Anonymous Employee,chief of staff,you'll work with amazing and bright people they company is working hard to improve inclusion they have a commitment to diversity most of the senior leadership is filled with solid people,grown too fast and lots of poor managers less and less opportunities for growth for most people becoming increasingly corporate terrible commute for many in bay area,create opportunity for growth,3.0,3.0,4.0,3.0,4.0,4.0,2,Anonymous Employee,1,2017,Mar,1,27.772,905.96,0
1479,1480,google,"San Diego, CA"," Feb 27, 2017",Former Employee - Sales,SunSplash Swimwear,Great Place to work overall,"nothing, great place to work",none,5.0,3.0,3.0,3.0,3.0,3.0,0,Sales,0,2017,Feb,1,27.772,905.96,1
1480,1481,google,none," Feb 27, 2017",Former Employee - Anonymous Employee,Food is delicious,Food is really delicious and healthy,no professional gym to use in building,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,0,2017,Feb,1,27.772,905.96,1
1481,1482,google,none," Mar 10, 2017",Former Employee - Anonymous Employee,Wonderful company to work for - beware the cost of living!,"Amazing, supportive management environment. Friendly, positive, smart coworkers and nurturing environment. If you're a hard worker you can thrive here.","Don't expect much upward career movement, but lateral moves are readily available. Middle or product level management needs a hard look and a swift kickstart.","Improve the promotion process by making it possible for one to be promoted within the current context of the corporate culture. By this, I mean that it seems the promotion model has not been updated since the company was much smaller. Also, make sure all the people placed in positions of management have a true vision and drive rather than just competence. Projects tend to drift here, and I feel that efforts are wasted due to weak leadership. Even strong and smart employees are not always cut out for management. Nobody should be able to say that you need to leave the company and make a higher salary to get promoted on return.",4.0,4.0,5.0,2.0,4.0,5.0,1,Anonymous Employee,0,2017,Mar,1,27.772,905.96,0
1482,1483,google,"Mountain View, CA"," Mar 12, 2017",Current Employee - SWE,SWE FTE,"smart peers, decent problems to solve, loads to learn, decent compensation, good perks","though there are ton of good problems to solve in good projects, the good work is reserved for L5+ engineers as they need complex work to get promoted  managers assign responsibilities based on what is required to ensure people get promoted to next level and not because they are interested in solving the problem or they have the ability to solve the problem, you have to make your manager happy to get good work, the promotion process is totally crap  people do the wrong things to get promoted, people don't do the right thing because it won't help with promotion, some people become people manager just to grow and not because they are interested in managing people",fix the screwed up promotion process,4.0,3.0,3.0,1.0,3.0,2.0,0,SWE,1,2017,Mar,1,27.772,905.96,0
1483,1484,google,none," Feb 22, 2017",Former Employee - Anonymous Employee,Google,good technological company to work with,no cons of compay to share,none,5.0,5.0,5.0,5.0,5.0,5.0,1,Anonymous Employee,0,2017,Feb,1,27.772,905.96,0
1484,1485,google,none," Feb 25, 2017",Current Employee - Cloud Program Manager,Awesome,Entrepreneurial - able to drive what you are doing on day to day basis Responsible,Lack of clear promotion path,Specify clear development and promotion path,5.0,5.0,5.0,3.0,5.0,4.0,0,Cloud Program Manager,1,2017,Feb,1,27.772,905.96,0
